"--@#1"
"##1434515017048"
"Translation Key","en"
"error.notfoundexception.generic_context_agent_configuration","No generic context agent configuration with the name ''{0}'' currently exists"
"error.notfoundexception.group","No group with name ''{0}'' currently exists"
"error.notfoundexception.group_attribute","The group attribute with name ''{0}'' was not found"
"error.notfoundexception.group_location_permission","No group location permission associated with group ''{0}'' and location ''{1}'' currently exists"
"error.notfoundexception.group_policy","No policy for the group ''{0}'' currently exists"
"error.notfoundexception.header","No header with name ''{0}'' currently exists"
"error.notfoundexception.help_redirection","This entry point does not currently have a help redirection"
"error.notfoundexception.history","No history for context view ''{0}'' currently exists for this user"
"error.notfoundexception.history_entry","No entry for the entity with ID ''{0}'' currently exists in this worklist"
"error.notfoundexception.history_subscription","No history notification subscription with name ''{0}'' currently exists"
"error.notfoundexception.historyentry_subscription","No history entry notification subscription with name ''{0}'' currently exists"
"error.notfoundexception.hl7_datatype","No additional HL7 datatype with class ''{0}'' currently exists"
"error.notfoundexception.icon_redirection","This entry point does not currently have an icon redirection"
"error.notfoundexception.important_group_location_permission","No important group location permission with the name ''{0}'' currently exists"
"error.notfoundexception.important_relationship_permission","No important relationship permission with the name ''{0}'' currently exists"
"error.notfoundexception.information_access_policy","No information access policy with the name ''{0}'' was found"
"error.notfoundexception.information_policy_selector","No information policy selector with name ''{0}'' currently exists"
"error.notfoundexception.information_policy_selector_parameter","No information policy selector parameter with name ''{0}'' currently exists"
"error.notfoundexception.information_type","No information type with code ''{0}'' currently exists"
"error.notfoundexception.information_type_rule","No information type rule with information type ''{0}'' currently exists"
"error.notfoundexception.information_type_ruleset","No information type ruleset with name ''{0}'' currently exists"
"error.notfoundexception.jdbc_driver","No JDBC driver with name ''{0}'' currently exists"
"error.notfoundexception.ldap_attribute","No LDAP attribute with name ''{0}'' currently exists"
"error.notfoundexception.ldap_server_attribute","An attribute with name ''{0}'' does not exist within the user LDAP schema"
"error.notfoundexception.ldap_user","No user with the ID ''{0}'' exists in the LDAP directory"
"error.notfoundexception.location","No location with name ''{0}'' currently exists"
"error.notfoundexception.location_specifier","No location specifier of type ''{0}'' with value ''{1}'' currently exists"
"error.notfoundexception.location_unique_id","No location with database unique ID ''{0}'' currently exists"
"error.notfoundexception.login_disclaimer.message","No login disclaimer with name ''{0}'' currently exists"
"error.notfoundexception.login_disclaimer.title","Login Disclaimer Not Found"
"error.notfoundexception.login_timeframe","There is no login time frame for ''{0}''"
"error.notfoundexception.menu","No menu entry point with name ''{0}'' currently exists"
"error.notfoundexception.menu_entry_point","No menu entry point with name ''{0}'' currently exists"
"error.notfoundexception.message","The message with ID ''{0}'' was not found"
"error.notfoundexception.message_driver_configuration","No message driver configuration with name ''{0}'' currently exists"
"error.notfoundexception.message_driver_parameter","No message driver parameter with name ''{0}'' currently exists"
"error.notfoundexception.message_instance","A message instance for the message with ID ''{0}'' not found"
"error.notfoundexception.name_suffix","No name suffix with name ''{0}'' currently exists"
"error.notfoundexception.notification","No message notification with name ''{0}'' currently exists"
"error.notfoundexception.notification_attribute_type","No message attribute type with name ''{0}'' currently exists"
"error.notfoundexception.notification_delivery_method","No notification delivery method with name ''{0}'' currently exists"
"error.notfoundexception.notification_delivery_method_parameter","No notification delivery method parameter with name ''{0}'' currently exists"
"error.notfoundexception.notification_event_type","No message event type with name ''{0}'' currently exists"
"error.notfoundexception.notification_service_type","No message service type with name ''{0}'' currently exists"
"error.notfoundexception.override_reason","No override reason with name ''{0}'' currently exists"
"error.notfoundexception.parameter_binding","No parameter binding with name ''{0}'' currently exists"
"error.notfoundexception.password_policy","No password policy with name ''{0}'' currently exists"
"error.notfoundexception.password_reset_info","No secret question or answer has been configured"
"error.notfoundexception.password_reset_request","No password reset request with ID ''{0}'' currently exists"
"error.notfoundexception.password_reset_request_user","No password reset request for user ''{0}'' currently exists"
"error.notfoundexception.permission","No permission of type ''{0}'' currently exists"
"error.notfoundexception.portal_page","No portal page with name ''{0}'' currently exists"
"error.notfoundexception.portal_page_windowlet","No portal page windowlet with name ''{0}'' currently exists"
"error.notfoundexception.preference","No preference with name ''{0}'' currently exists for this user"
"error.notfoundexception.privacy_policy","No privacy policy with name ''{0}'' currently exists"
"error.notfoundexception.query_parameter","No query parameter with name ''{0}'' currently exists"
"error.notfoundexception.read_document","No read document with ID ''{0}'' currently exists"
"error.notfoundexception.redirection","No redirection with index {0} currently exists"
"error.notfoundexception.redirection_key","No redirection key with name ''{0}'' currently exists"
"error.notfoundexception.relationship","No relationship ''{0}'' currently exists between the current entity and the user ''{1}''"
"error.notfoundexception.relationship_permission","No relationship permission associated with the relationship type ''{0}'' currently exists"
"error.notfoundexception.relationship_policy","No policy for the relationship ''{0}'' currently exists"
"error.notfoundexception.relationship_type","No relationship type currently exists with name ''{0}''"
"error.notfoundexception.repository_parameter","No repository parameter with name ''{0}'' currently exists"
"error.notfoundexception.result_button","No result button with name ''{0}'' currently exists"
"error.notfoundexception.result_column","No result column with name ''{0}'' currently exists"
"error.notfoundexception.role","No role with name ''{0}'' currently exists"
"error.notfoundexception.search","No search with name ''{0}'' currently exists"
"error.notfoundexception.second_node","This node does not exist"
"error.notfoundexception.second_node_instance","This node does not exist"
"error.notfoundexception.shortcut","No entry point shortcut ''{0}'' currently exists"
"error.notfoundexception.subject_item","No subject item with the name ''{0}'' currently exists on context subject ''{1}''"
"error.notfoundexception.subject_of_interest","No subject of interest with name ''{0}'' currently exists"
"error.notfoundexception.summary_entry_point","No summary entry point with name ''{0}'' currently exists"
"error.notfoundexception.user","No user with ID ''{0}'' currently exists"
"error.notfoundexception.user_attribute","The user attribute ''{0}'' does not exist for the group ''{1}''"
"error.notfoundexception.user_driver","No user driver parameter with name ''{0}'' currently exists"
"error.notfoundexception.user_driver_parameter","No user driver parameter with name ''{0}'' currently exists"
"error.notfoundexception.user_not_in_group","The user  ''{0}'' does not belong to the group ''{1}''"
"error.notfoundexception.user_password_reset_question","No secret question ''{0}'' currently exists"
"error.notfoundexception.user_permission","No user permission associated with user ''{0}'' currently exists"
"error.notfoundexception.user_policy","No policy for the user ''{0}'' currently exists"
"error.notfoundexception.user_subscription","No user notification subscription with name ''{0}'' currently exists"
"error.notfoundexception.virtual_desktop","No virtual desktop with name ''{0}'' currently exists"
"error.notfoundexception.web_service_user","The web service user with ID ''{0}'' does not currently exist"
"error.notfoundexception.windowlet","No windowlet with name ''{0}'' currently exists"
"error.notfoundexception.work_list","No worklist of type ''{0}'' for the ''{1}'' context view currently exists for this user"
"error.notfoundexception.work_list_entry","No entry for the entity with ID ''{0}'' currently exists in the worklist"
"error.notfoundexception.work_list_type","No worklist type with name ''{0}'' currently exists"
"error.notfoundexception.worklist_column","No worklist column configuration for the subject item ''{0}'' currently exists for the context view ''{1}''"
"error.notfoundexception.worklist_column_index","No worklist column with the index ''{0}'' currently exists for the context view ''{1}''"
"error.notfoundexception.worklist_driver","No worklist driver with name ''{0}'' currently exists"
"error.notfoundexception.worklist_driver_parameter","No worklist driver parameter with name ''{0}'' currently exists"
"error.notfoundexception.worklist_subscription","No notification subscription with name ''{0}'' currently exists"
"error.notfoundexception.worklistentry_subscription","No notification subscription with name ''{0}'' currently exists"
"error.notificationrequireseventtype","Please select an event type for the new notification"
"error.notificationrequiresservicetype","Please select a service type for the new notification"
"error.notloggedinexception.not_logged_in","Your Clinical Portal session has expired. Please close all windows and login again."
"error.notuniquerelationship","{2} is already a {1} for {3}"
"error.optionvaluealreadyexists","Option value ''[0]'' already exists"
"error.outofrange","{1} is invalid as it isn''t between {2} and {3}."
"error.parameterinvalid","A field contained an invalid value, please ensure that all fields contain appropriate values"
"error.passcodecontainsinvalidcharacters","Your passcode contains the following invalid character: [0]"
"error.passcodenotlongenough","Your passcode is only [0] characters long.  Passcodes must be at least 128 characters long."
"error.passcodetoolong","Your passcode is [0] characters long.  The maximum permissible length of a passcode is 256 characters."
"error.password.change","Invalid new password. Some common values (such as empty) are not permitted."
"error.password.change.not.allowed","You are not allowed to change the password for this user."
"error.password.current","Invalid current password"
"error.password.exception","Error setting password: {0}. Please try again."
"error.password.nomatch","Passwords do not match"
"error.password.policy","Password is not strong enough"
"error.password.required","New Password is required"
"error.password.verify.required","Verify is required"
"error.passwordalreadyused","The password entered has been used before, please choose another one"
"error.passwordexpired","Your password has expired and must be changed."
"error.passwordincorrect","Password incorrect"
"error.passwordinvalid","The password entered was incorrect"
"error.passwordminage","The current password has a minimum password age. Try again in {0} days"
"error.passwordmismatch","The passwords entered do not match"
"error.passwordnotlongenough","Your password must be at least ''{0}'' characters long"
"error.passwordnotstrongenough","Please use a mix of upper and lower case letters, numbers or symbols"
"error.passwordstrengthvalidationfailed","Password strength validation failed. Please contact your administrator."
"error.passwordusernamesame","Your password cannot be the same as your user ID"
"error.policyselectornamerequired","Please enter a name for the new policy selector"
"error.portalwebservice.server.name.alreadyexists","A Portal server with the name ''{0}'' already exists"
"error.portalwebservice.server.name.required","A server name is required"
"error.prebindingexception.entrypoint_authentication.friendly","An unexpected error occurred."
"error.prebindingexception.entrypoint_authentication.message","Error prebinding entry point authentication page, ''{0}'' could not be loaded"
"error.prebindingexception.entrypoint_authentication.title","Unexpected Error"
"error.prebindingexception.login_disclaimer.friendly","An unexpected error occurred."
"error.prebindingexception.login_disclaimer.message","Error prebinding a login disclaimer with name ''{0}''"
"error.prebindingexception.login_disclaimer.title","Unexpected Error"
"error.prebindingexception.missing_object.friendly","An unexpected error occurred."
"error.prebindingexception.missing_object.message","No {0} with name ''{1}'' currently exists"
"error.prebindingexception.missing_object.title","Unexpected Error"
"error.prebindingexception.missing_parameter.friendly","An unexpected error occurred."
"error.prebindingexception.missing_parameter.message","The {0} parameter is missing"
"error.prebindingexception.missing_parameter.title","Unexpected Error"
"error.prefixnamerequired","Please enter a name prefix for the new item"
"error.privacyexception.access_denied","Could not evaluate access level to information because full access is not allowed for the current entity"
"error.privacyexception.access_denied.friendly","An unexpected error occurred."
"error.privacyexception.identifier_not_found","Failed to apply privacy because the required identifier ''{0}'' could not be found for the current entity"
"error.privacyexception.identifier_not_found.friendly","An unexpected error occurred."
"error.privacyexception.information_not_tagged","Could not apply privacy because some information was not tagged with any information types"
"error.privacyexception.information_not_tagged.friendly","An unexpected error occurred."
"error.privacyexception.override_not_allowed","Your current access permissions do not allow an override to be performed"
"error.privacynotenabledexception.privacy_not_enabled","Privacy is not enabled for the ''{0}'' context view"
"error.privacynotenabledexception.privacy_not_enabled.friendly","An unexpected error occurred."
"error.problemfetchingpatientbyidentifierexception.problem_fetching_patient.message","A patient with ID ''{0}'' could not be found. This could be caused by incorrect application configuration."
"error.problemfetchingpatientbyidentifierexception.problem_fetching_patient.title","A patient could not be found"
"error.problemresettingpassword","There was a problem resetting your password"
"error.processingrequest","There was an error processing your request."
"error.provisioning.applications.check.log","{0}

Check the log for more details."
"error.provisioning.configuration.schema.missing","The selected applications do not include a configuration schema upgrade script. This indicates that the Core application is not selected for installation, which will prevent Platform from starting.

Would you like to continue installation?"
"error.provisioning.import.failed","The file failed to import. Check the log for errors"
"error.provisioning.repository.not.exists","Please enter the path of an existing directory"
"error.provisioning.upgrade.not.backed.up","Please back up your configuration database before continuing"
"error.redirectionexception.failed_to_instantiate","Failed to instantiate redirection ''{0}''"
"error.redirectionexception.failed_to_instantiate.friendly","An unexpected error occurred."
"error.redirectionexception.illegal_access","Redirection ''{0}'' does not have a public constructor"
"error.redirectionexception.illegal_access.friendly","An unexpected error occurred."
"error.redirectionexception.no_such_method","Redirection ''{0}'' does not have a constructor of the form Redirection(RedirectionTemplate, TemplateInfo, RequestURL)"
"error.redirectionexception.no_such_method.friendly","An unexpected error occurred."
"error.redirectionstepdefaultentrybinding","A binding error occurred during the entry redirection for the ''{1}'' entry point of the ''{0}'' application"
"error.redirectionstepdefaultentrybinding.friendly","An unexpected error occurred."
"error.redirectionstepdefaultentryserver","A server error occurred during the entry redirection for the ''{1}'' entry point of the ''{0}'' application"
"error.redirectionstepdefaultentryserver.friendly","An unexpected error occurred."
"error.redirectionstepdefaultloginbinding","A binding error occurred during the login redirection for the ''{0}'' application"
"error.redirectionstepdefaultloginbinding.friendly","An unexpected error occurred."
"error.redirectionstepdefaultloginserver","A server error occurred during the login redirection for the ''{0}'' application"
"error.redirectionstepdefaultloginserver.friendly","An unexpected error occurred."
"error.redirectionstepdefaultlogoutbinding","A binding error occurred during the logout redirection for the ''{0}'' application"
"error.redirectionstepdefaultlogoutbinding.friendly","An unexpected error occurred."
"error.redirectionstepdefaultlogoutserver","A server error occurred during the logout redirection for the ''{0}'' application"
"error.redirectionstepdefaultlogoutserver.friendly","An unexpected error occurred."
"error.referencedatanotavailable","The reference data in the range requested is not available."
"error.referencedatanotretrieved","The chart is not displayed because the reference data can not be retrieved. Category code: {0}"
"error.referencerangeunknown","Reference Range unknown"
"error.refrangesdiffer","Reference ranges differ. Results are potentially from different laboratories."
"error.registereduserlimitexceededexception.user_limit_exceeded","This Clinical Portal installation has exceeded the registered user limit of {0}"
"error.relationshipsource.already.exists","Scripted Relationship Source {0} already exists"
"error.relationshipsource.scripted.name.required","The script name is required"
"error.relationshiptype.already.exists","Relationship Type Group {0} already exists"
"error.relationshiptype.period.duration","Duration must be greater than {0} and less than {1}"
"error.relationshiptype.period.format","Duration must be a numeric value"
"error.relationshiptype.uniqueid.required","A unique ID is required"
"error.relationshiptype.uniqueid.size","Unique ID must be less than 150 characters"
"error.relationshiptypegroup.already.exists","Relationship Type Group {0} already exists"
"error.relationshiptypegroup.name.required","A group name is required"
"error.relationshiptypegroup.name.size","The group name must be less than 150 characters"
"error.relationshiptypenamerequired","Please enter a name for the new relationship type"
"error.repository.messaging.configuration.addmessageprocessor","A name must be specified for a new message processor."
"error.repository.messaging.configuration.addsegmentreplacement","A name must be specified for a new segment replacement."
"error.repository.messaging.configuration.addtargetmodelmapping","A name must be specified for a new target model mapping."
"error.resourcecouldnotbeloaded","The resource ''[0]'' could not be loaded."
"error.resultprintingfailed","The result could not be printed"
"error.rule.ui.attributeismissing","Unusable rule condition: The path ''{0}'' no longer exists within the cDictionary model "
"error.rule.ui.datatypechanged","Unusable rule condition: The configured ''{0}'' comparison type does not match the cDictionary attribute''s ''{1}'' comparison type  "
"error.rule.ui.lookupschanged","Warning: The lookup comparison value no longer exists within cDictionary''s Terminology Service. Rules will continue to evaluate. "
"error.rule.ui.operator.required","A rule operator must be specified "
"error.rule.ui.repeatingchangednonrepeating","Unusable rule condition: The configured operator ''{0}'' is not applicable for non-repeating attributes"
"error.rule.ui.repeatingchangedrepeating","Unusable rule condition: The configured operator ''{0}'' is not applicable for repeating attributes"
"error.rule.ui.repeatingcomposite","Unusable rule condition: Repeating composite rule conditions can only be defined on repeating composite attributes but was data type: {0}, repeating: {1} "
"error.rule.ui.rulescanonlybecreatedonattributes","Rules can only be created on attributes"
"error.rulecomparisonvaluetoolarge","Comparison value is too large. Value must not exceed 1024 characters"
"error.save.failed","Error. Could not save. Please try again."
"error.scriptsourceuploadfailed","Script source upload failed"
"error.scriptuploadfailed","Script upload failed"
"error.securityexception.password_change_ldap_illegal","It is not possible to change an LDAP password from Clinical Portal"
"error.securityexception.password_change_ldap_illegal.friendly","It is not possible to change your password from Clinical Portal. Please contact your administrator."
"error.securityexception.password_change_nt_disabled","The administrator has disabled the changing of Windows NT passwords from Clinical Portal"
"error.securityexception.password_change_nt_disabled.friendly","It is not possible to change your password from Clinical Portal. Please contact your administrator."
"error.securityexception.password_invalid","The password entered was incorrect"
"error.securityexception.password_mismatch","The passwords entered do not match"
"error.securityexception.password_not_strong_enough","Please use a mix of upper and lower case letters, numbers or symbols"
"error.securityexception.password_reset_answer_invalid","The secret answer is invalid"
"error.securityexception.password_reset_question_invalid","The secret question is invalid"
"error.selecscript","Please select a script file."
"error.selectanoverride","Please select an override"
"error.selectapplicationanddocumentrepository","Please select an application and a document repository"
"error.selectapplicationandentrypoint","Please select an application and an entry point"
"error.selectapplicationandwindowlet","Please select an application and a windowlet"
"error.selectapplicationforadddocumententrypoint","Please select an application for the new add document entry point"
"error.selectatleastonesourcetograph","Please select at least one source to graph"
"error.selectcolumn","Please select a column"
"error.selectdefaultfilter","Please select a default filter value to set"
"error.selectdeliverymethod","Please select a delivery method"
"error.selectdesktopapplicationtype","Please select a type for the new desktop application"
"error.selectentrypointforadddocumententrypoint","Please select an entry point for the new add document entry point"
"error.selectentrypointforrowselection","Please select an entry point to open on row selection. Your changes were not saved."
"error.selectinformationtoview","Please select the information to view"
"error.selectoverride","Please select an item to override"
"error.selectreason","Please select a reason"
"error.selectrelationship","Please select a relationship"
"error.selectscriptsource","Please select a script source file."
"error.selectuser","Please select a user"
"error.sendmessagefailed","Message delivery failed. Please try again later"
"error.serverportnotempty","The server port value is missing and must be specified."
"error.serverportnotinteger","The server port value is invalid and it must be a whole number."
"error.serviceexception.ccow_passcode_invalid","A CCOW passcode for the Clinical Portal application is required in the file ''{0}'' and must be at least {1} characters long"
"error.serviceexception.ccow_passcodes_different","The CCOW passcode for the Clinical Portal application in the file ''{0}'' differs from the passcode defined in ''{1}''"
"error.serviceexception.context_management_startup","Could not start Context Management Suite"
"error.serviceexception.context_management_startup_configuration","Could not start Context Management Suite, could not retrieve configuration for {0}"
"error.serviceexception.could_not_connect_to_audit_log","Could not locate or connect to the Audit Log database"
"error.serviceexception.could_not_do_auto_import","Could not import the automatic import file ''{0}''"
"error.serviceexception.could_not_do_auto_merge","Could not merge the automatic merge file ''{0}''"
"error.serviceexception.could_not_export_database","Could not export the Clinical Portal database to ''{0}''"
"error.serviceexception.could_not_import_ccow_spec","Could not import CCOW Context Subject Specification ''{0}''"
"error.serviceexception.could_not_load_password_strength_validator","Could not load the password strength validator "
"error.serviceexception.could_not_register_local_translation_service","Could not enable the local translation service"
"error.serviceexception.could_not_rename_auto_import_merge_file","Could not rename the automatic import/merge file ''{0}'' to ''{1}''"
"error.serviceexception.could_not_request_remote_translation_service","Could not find the remote translation service"
"error.serviceexception.database_tables_not_found","No tables exist in the following databases: {0}"
"error.serviceexception.default_document_attributes","Encountered error restoring default document attributes for document capture configuration"
"error.serviceexception.failed_loading_bootstrap_properties","Failed to load bootstrap properties from the configuration service"
"error.serviceexception.failed_setting_application_passcode","Failed to store generated passcode in the configuration service"
"error.serviceexception.failed_upgrading_bootstrap_properties","Unable to upgrade bootstrap properties from file into the configuration service"
"error.serviceexception.internal_service_class_not_found","Could not obtain class when attempting to register service ''{0}''"
"error.serviceexception.internal_service_jndi_context_error","Could not retrieve JNDI context ''{0}'' needed for internal service configuration"
"error.serviceexception.internal_service_missing","The following required internal services were not configured in JNDI: {0}"
"error.serviceexception.internal_service_not_instantiated","Could not instantiate implementation class ''{0}'' for service ''{1}''"
"error.serviceexception.invalid_bootstrap_properties","Bootstrap properties were not valid"
"error.serviceexception.invalid_database_schema_version","Invalid Clinical Portal database schema"
"error.serviceexception.invalid_license","The registered Clinical Portal license is invalid"
"error.serviceexception.jmx_agent_cannot_shut_down","Could shutdown JMX agent cleanly"
"error.serviceexception.jmx_agent_cannot_start","Could not start JMX agent"
"error.serviceexception.log4j_configuration_file_cannot_be_read","Log4j configuration not found or not readable from ''{0}''"
"error.serviceexception.log4j_configuration_file_not_found","Could not find log4j properties file ''{0}''"
"error.serviceexception.mbeans_could_not_be_registered","Could not register MBeans"
"error.serviceexception.mismatched_validation_keys","The following validation keys have a mismatch in the validationKeys.properties file: {0}"
"error.serviceexception.missing_context_subjects","Incomplete configuration: the following required context item(s) are missing from the CCOW subject specification in the database: {0}"
"error.serviceexception.no_enabled_users","Incomplete configuration: there must be at least one enabled Clinical Portal user that has a Clinical Portal group membership"
"error.serviceexception.no_entrypoints","Incomplete configuration: there must be at least one menu that has at least one entrypoint that is accessible by at least one Clinical Portal user, by at least one browser, from at least one location"
"error.serviceexception.no_groups","Incomplete configuration: there must be at least one Clinical Portal group"
"error.serviceexception.no_license","No Clinical Portal license found"
"error.serviceexception.no_supported_browsers","Incomplete configuration: Clinical Portal must be configured to support at least one browser"
"error.serviceexception.unexpected","Unexpected error: {0}"
"error.servicetypenamerequired","Please enter a name for the new service type"
"error.session.not.found","An unexpected error occurred, please try again."
"error.session.timeout","Session timed out, please try again."
"error.specifyfilename","Please specify a file name first"
"error.specifyrecipients","You must specify some recipients for the message."
"error.specifyrecipientsmessage","You must specify some recipients for the message."
"error.staledataexception.stale_data","Your changes could not be saved because someone else recently made conflicting changes."
"error.stripeshttpencryptedchannelexception.missing_parameter.friendly","An unexpected error occurred."
"error.stripeshttpencryptedchannelexception.missing_parameter.message","Parameter ''{0}'' required for secure communication was missing from the HTTP request"
"error.stripeshttpencryptedchannelexception.missing_parameter.title","Unexpected Error"
"error.stripeshttpencryptedchannelexception.wrapped_exception.friendly","An unexpected error occurred."
"error.stripeshttpencryptedchannelexception.wrapped_exception.message","There was an error when attempting to perform secure communications with browser"
"error.stripeshttpencryptedchannelexception.wrapped_exception.title","Unexpected Error"
"error.stylesheetinvalid","The transformation failed because the stylesheet is invalid. Error message: ''[0]''."
"error.subjectalreadyexists","There is already a context subject with the name ''{1}''"
"error.subjectofinterestrequired","Please select a subject of interest"
"error.subjectrequiresname","Please enter a new name for the context subject"
"error.thedictionarydatatypeisnotsupportedforrulesevaluation","The cDictionary data type ''{0}'' is not supported for rules evaluation"
"error.todatemustbeafterfromdate","The Active To date must be after the Active From date"
"error.toomanyattemptsexception.concerto_transaction_manager","Too many attempts to run transaction ''{0}''"
"error.toomanyattemptsexception.concerto_transaction_manager.friendly","An unexpected error occurred."
"error.toomanyattemptsexception.lock_manager","Too many attempts trying to run transaction"
"error.toomanyattemptsexception.lock_manager.friendly","An unexpected error occurred."
"error.typevaluespecifier","You must specify a type and a value to add a specifier"
"error.unabletoretryexception.concerto_transaction_manager","Unable to retry transaction ''{0}''"
"error.unhandledunknownerror","An unexpected error occurred. Please contact your administrator."
"error.unhandledunknownerrorguid","An unexpected error occurred. Please contact your administrator and quote the following reference: {0}"
"error.uniqueidentifiernotfoundexception.unique_identifier","Unique identifier ''{0}'' is required for ''{1}'' context view but does not exist"
"error.uniqueidentifiernotfoundexception.unique_identifier.friendly","An unexpected error occurred."
"error.unitsunknown","Units unknown"
"error.unknown","Unknown"
"error.unknownexception.unknown.message","An unexpected error occurred."
"error.unknownexception.unknown.title","Unexpected error"
"error.unknownhostexception.client_ip","No client with address ''{0}'' currently exists"
"error.unknownitemnameexception.context","No item name with identifier ''{0}'' could be found"
"error.unknownitemnameexception.context.friendly","An unexpected error occurred."
"error.unknownitemnameexception.item_name","No item name with identifier ''{0}'' could be found"
"error.unknownitemnameexception.item_name.friendly","An unexpected error occurred."
"error.unknownitemnameexception.subject","A subject was contained in the context ''{0}'' that was not in the subjects of interest ''{1}''"
"error.unknownitemnameexception.subject.friendly","An unexpected error occurred."
"error.unsupported.browser","Your web browser is not supported. Please download the latest version of Firefox or Internet Explorer."
"error.unsupportedimportversionexception.unsupported_import_version","Import not supported for files generated by Clinical Portal ''{0}''"
"error.untrusteddomainexception.untrusted_domain.friendly","Untrusted Domain Error occurred."
"error.untrusteddomainexception.untrusted_domain.message","The resource ''{0}'' is not prefixed with one of the trusted domains"
"error.untrusteddomainexception.untrusted_domain.title","Untrusted Domain Error"
"error.updateexception.failed","Failed to save changes to the CCOW configuration"
"error.user.not.found","An unexpected error occurred, please try again."
"error.user.permissions","You cannot view this page due to access restrictions."
"error.userdrivername","Please enter a name for the new user driver parameter"
"error.useridincorrect","User ID is incorrect"
"error.usersessionexception.user_not_logged_in","The user ''{0}'' could not be logged in"
"error.usersessionexception.user_not_logged_out","The user ''{0}'' could not be logged out"
"error.validation.date.invalid","Date is not valid."
"error.validation.date.maximum","Date can be no later than {0}."
"error.validation.date.minimum","Date must be {0} or later."
"error.validation.date.range.invalid","The dates in this range are reversed."
"error.validation.email.invalid","Email address is not valid."
"error.validation.email.invalid.field","{0} must be a valid email address."
"error.validation.filetype","Invalid File Type"
"error.validation.multiple","Please complete the {0} highlighted fields."
"error.validation.number","{0} must be a number."
"error.validation.number.invalid","Number is not valid."
"error.validation.number.maximum","Number must be no greater than {0}."
"error.validation.number.minimum","Number must be at least {0}."
"error.validation.number.positive","{0} must be positive number."
"error.validation.phone.invalid","Phone number is not valid."
"error.validation.regexp","{0} is not a valid regular expression, error at position {1}: {2}"
"error.validation.required","{0} is required."
"error.validation.string.maximum","Too many characters. {0} allowed."
"error.validation.url.invalid.field","{0} must be a valid URL."
"error.validation.user.invalid","Username or password is not valid."
"error.validation.user.unique","Username is not available."
"error.validationexception.invalid_data_in_request","The data in the authenticated request is invalid"
"error.validationexception.invalid_data_in_request.friendly","An unexpected error occurred."
"error.validationexception.invalid_encrypted_data","The encrypted data in the request is invalid"
"error.validationexception.invalid_encrypted_data.friendly","An unexpected error occurred."
"error.virtualdesktopmemberrequiresname","Please enter a name for the new virtual desktop member"
"error.virtualdesktoprequiresname","Please enter a name for the new virtual desktop"
"error.webservice.client.invalid.qname","{0} must be a valid QName"
"error.webservice.config.invalid.soap.header","Invalid SOAP Header"
"error.webservice.config.missing.soap.header","The SOAP Header must not be blank"
"error.webservices.chunksize.zero","Http Chunk Size cannot be 0"
"error.webservices.locationrequired","Location is a required field."
"error.widgetmustbespecifiedontheattributefirst","The widget must be specified on the attribute ''{0}'' before rules can be defined"
"error.worklistdriverparameter","Please enter a name for the new worklist driver parameter"
"error.worklistlimitexception.add.friendly","The ''{0}'' worklist is full. To add to this worklist please remove at least {1}."
"error.worklistlimitexception.add.message","The ''{0}'' worklist is full. It is {1} over the limit."
"error.worklistlimitexception.add.title","Full worklist"
"error.worklistlimitexception.replace.friendly","The current selection could not replace the ''{0}'' worklist because the limit of {1} would be exceeded. Please remove at least {2} from the selection."
"error.worklistlimitexception.replace.message","The ''{0}'' worklist could not be replaced because the limit of {1} would be exceeded by {2} entries."
"error.worklistlimitexception.replace.title","Too many patients selected"
"error.xmlexception.could_not_render_pdf","Could not render PDF file"
"error.xmlexception.could_not_transform","Could not transform XML source ''{0}''"
"error.xmlresourcecouldnotbeloaded","The transformation failed because the XML resource ''{0}'' is not well-formed or could not be loaded."
"error.xmlresourcecouldnotbeloaded.friendly","An unexpected error occurred."
"error.xslresourcecouldnotbeloaded","The transformation failed because the XSL resource ''{0}'' is not well-formed or could not be loaded."
"error.xslresourcecouldnotbeloaded.friendly","An unexpected error occurred."
"error.xslresourceinvalid","The transformation failed because the XSL resource ''{0}'' is not well-formed or is invalid."
"error.xslresourceinvalid.friendly","An unexpected error occurred."
"esubjectsecurity.get_and_set","Secure subject, authenticated sets and gets"
"esubjectsecurity.none","Common subject"
"esubjectsecurity.set_only","Secure subject - authenticated sets only"
"event","Event"
"event date","Event Date"
"event id","Event ID"
"event result","Event Result"
"event source","Event Source"
"event status","Event Status"
"event status update","Event Status Update"
"event status update document","Event Status Update Document"
"event summary","Event Summary"
"event summary (discharge)","Event Summary (Discharge)"
"event type","Event Type"
"eventid","eventId"
"exceptionreferencenumber","Error reference number: {0}"
"existing referral oid","Existing Referral OID"
"expected review","Expected Review"
"expired","Expired"
"expires in","Expires In"
"expiry date","Expiry Date"
"externaleventid","ExternalEventId"
"exteventid","extEventId"
"facility","Facility"
"facility (campus)","Facility (Campus)"
"facility manager","Facility Manager"
"facility search","Facility Search"
"fail","Fail"
"family name","Family Name"
"familyname","FamilyName"
"fax","Fax"
"female","Female"
"file upload","File Upload"
"filler notes","Filler Notes"
"filler order number","Filler Order Number"
"filter","Filter"
"filter.environmental","Include Environmental"
"filter.showall","Include Revisions"
"filter.unresolved","Show Unresolved"
"final","Final"
"final clinical impression","Final Clinical Impression"
"final disposition","Final Disposition"
"finalise","Finalise"
"finalised","Finalised"
"finalised date","Finalised Date"
"find service","Find Service"
"first name","First Name"
