"--@#1"
"##1434516153354"
"Translation Key","en"
"discharge summary status","Discharge Summary Status"
"discharge summary@com.orchestral.workflow.task.api_2_0.tasktype","Event Summary"
"discharge type","Discharge Type"
"discharge@erf.referral.action","Discharge"
"discharged","Discharged"
"discharged@erf.referral.action","Discharged"
"dischargedate","dischargeDate"
"dischargedatetime","DischargeDateTime"
"dischargesummaryaudit","DischargeSummaryAudit"
"dischargesummaryauthorisation","DischargeSummaryAuthorisation"
"dischargesummaryfinalise","DischargeSummaryFinalise"
"dischargesummaryprint","DischargeSummaryPrint"
"dischargesummaryscript","DischargeSummaryScript"
"dischargesummarywrite","DischargeSummaryWrite"
"disclaimer.print.page.beginning","Page "
"disclaimer.print.page.end","#N/A"
"disclaimer.print.page.middle"," of "
"disclaimer.print.user.details","Prepared for {0} ({1}) on {2}"
"disease management administrators","Disease Management Administrators"
"disease management data enterers","Disease Management Data Enterers"
"disease management providers","Disease Management Providers"
"disease management users","Disease Management Users"
"display historic list","Display Historic list"
"display medication history","Display Medication History"
"display name","Display Name"
"display.name.i12e.clinical.event.registered","Clinical Event Handler"
"displaying a history of medications","Displaying a history of Medications"
"disposition","Disposition"
"dm providers search","DM Providers Search"
"dma","DMA"
"dma administration","DMA Administration"
"dma administration form search","DMA Administration Form Search"
"dma disposition list","DMA Disposition List"
"dma field","DMA Field"
"dma key word search","DMA Key Word Search"
"dma view","DMA View"
"dma view field search","DMA View Field Search"
"dma view name search","DMA View Name Search"
"dna","DNA"
"dna code","DNA Code"
"dna reason","DNA Reason"
"dna referrals","DNA Referrals"
"dob","DOB"
"doc status","Doc Status"
"docid","DocId"
"docstatus","docStatus"
"doctor","Doctor"
"doctor calvary user","Doctor Calvary User"
"doctor chhs user","Doctor CHHS User"
"doctor name","Doctor Name"
"doctype","DocType"
"document cache id accessor service@com.orchestral.core.web.admin.servicestatus","Document Cache Id Accessor Service"
"document capture","Document Capture"
"document direct access","Document Direct Access"
"document direct access_ccr","Document Direct Access_CCR"
"document group by","Document Group By"
"document id","Document ID"
"document linking search","Document Linking Search"
"document reader","Document Reader"
"document repository details","Document Repository Details"
"document repository service@com.orchestral.core.web.admin.servicestatus","Document Repository Service"
"document scanned","Document Scanned"
"document security@com.orchestral.portal.web.cdv","Document Security"
"document session service@com.orchestral.core.web.admin.servicestatus","Document Session Service"
"document sighted","Document Sighted"
"document status","Document Status"
"document title","Document Title"
"document type","Document Type"
"document update audit log","Document Update Audit Log"
"document version","Document Version"
"document view details","Document View Details"
"document views","Document Views"
"document writer","Document Writer"
"document.status.deleted","Deleted"
"document.status.deleted_draft","Deleted draft"
"document.status.draft","Draft"
"document.status.final","Signed"
"document.status.not.created","Not created"
"document.status.not.found","Not found"
"document.status.rejected","Rejected"
"documentid","Document ID"
"documentidentifier","DocumentIdentifier"
"documentlink_medical hx","DocumentLink_Medical Hx"
"documentlink_medicalhx","DocumentLink_MedicalHx"
"documentlink_surgical hx","DocumentLink_Surgical Hx"
"documentlinks - progressnote","DocumentLinks - ProgressNote"
"documentlinks - treatment_orders","DocumentLinks - Treatment_Orders"
"documentresume.dateformat.standard","'at' HH:mm 'on' EEEE, d MMMM yyyy"
"documentresume.dateformat.thisweek","'at' HH:mm 'on' EEEE"
"documentresume.dateformat.today","'at' HH:mm 'today'"
"documents.add.document.no.name","Please enter an ID for the Document"
"documents.duplicate.document","That ID is already in use."
"documenttype","DocumentType"
"domesticassistance","DomesticAssistance"
"doppler status","Doppler status"
"dose","Dose"
"draft","Draft"
"draft only","Draft Only"
"draft referrals","Draft Referrals"
"draftuser","draftuser"
"drain management observation chart@com.orchestral.workflow.task.api_2_0.tasktype","Drain Management Observation Chart"
"drain observation@com.orchestral.workflow.task.api_2_0.tasktype","Drain Management Observation Chart Review"
"dressing","Dressing"
"drools.rules.newrulepackage.packagename.size.value","120"
"drug","Drug"
"drugs","Drugs"
"drugs addiction","Drugs Addiction"
"due","Due"
"due date","Due Date"
"duedate","dueDate"
"duetime","DueTime"
"duplicate period configuration","Duplicate Period Configuration"
"duplicate.add.document.exception.message","You are already editing this new document in another window."
"duplicate.add.document.exception.title","Adding document in multiple windows not allowed"
"duration","Duration"
"dvacard","DVACard"
"dynamic patient summary welcome","Dynamic Patient Summary Welcome"
"e-mail","E-mail"
"eating","Eating"
"ed","ED"
"ed encounter history","ED Encounter History"
"ed encounters","ED Encounters"
"ed encounters (actpas)","ED Encounters (ACTPAS)"
"ed patient search","ED Patient Search"
"edit (actpas)","Edit (ACTPAS)"
"edit document","Edit Document"
"edit existing form","Edit Existing Form"
"edit outpatient attendance","Edit Outpatient Attendance"
"edit quicktexts","Edit QuickTexts"
"edit@com.orchestral.referrals.action.config.referralaction","Edit"
"edit@erf.referral.action","Edit"
"eds status","EDS Status"
"electronic request search","Electronic Request Search"
"eligibility check@com.orchestral.workflow.task.api_2_0.tasktype","WiC Decision Making Algorithm (DMA)"
"emergency (ed)","Emergency (ED)"
"emergency contact name","Emergency Contact Name"
"emergency contact person","Emergency Contact Person"
"emergency contact phone","Emergency Contact Phone"
"emergency contact relationship","Emergency Contact Relationship"
"emergency contact telephone","Emergency Contact Telephone"
"emergency encounter history","Emergency Encounter History"
"emergency encounter history (actpas)","Emergency Encounter History (ACTPAS)"
"employment","Employment"
"encounter","Encounter"
"encounter 8.2.0@das.scriptedadaptor.name","Encounter 8.2.0"
"encounter history","Encounter History"
"encounter history (actpas)","Encounter History (ACTPAS)"
"encounter search","Encounter Search"
"encounter type","Encounter Type"
"encounter_number","encounter_number"
"encrypted request modified or bad key.key","This exception occurs because either the encrypted request has been modified, or the key used to encrypt the request does not match the key used to decrypt it."
"end date","End Date"
"end date/time","End Date/Time"
"endclient","EndClient"
"ended at","Ended At"
"enrol in pathway (appointment booked in)@erf.referral.action","Enrol in Pathway (Appointment booked in)"
"enrol in pathway @erf.referral.action","Enrol in Pathway "
"enrol in pathway@com.orchestral.referrals.action.config.referralaction","Enrolled"
"enrol in pathway@erf.referral.action","Enrolled"
"enrol patient","Enrol Patient"
"enrolled","Enrolled"
"enrolled by clinician","Enrolled by Clinician"
"enrolled on pathway@com.orchestral.referrals.event.referraleventtype","Booked"
"enrolled on pathway@erf.referral.eventtype","Booked"
"enrolled2@erf.referral.action","Enrolled2"
"enrolled@erf.referral.action","Enrolled"
"enrollment date","Enrollment Date"
"enrollment date and time","Enrollment Date and Time"
"enrollment date time","Enrollment Date Time"
"enrollment status","Enrollment Status"
"enrolment date and time","Enrolment Date and Time"
"enrolment status change search","Enrolment Status Change Search"
"enter keywords separated by a colon (;)","Enter Keywords separated by a colon (;)"
"entity access policy details","Entity Access Policy Details"
"entity policy selector details","Entity Policy Selector Details"
"entity search","Entity Search"
"entry point details","Entry Point Details"
"entry point name","Entry Point Name"
"enum.description.com.orchestral.foundation.webservices.security.mode.custom","Custom security policy"
"enum.description.com.orchestral.foundation.webservices.security.mode.digested_username_password","Username/Password digested with nonce and timestamp"
"enum.description.com.orchestral.foundation.webservices.security.mode.encrypted_username_password","Username/Password encrypted using X509 certificate"
"enum.description.com.orchestral.foundation.webservices.security.mode.plain_username_password","Username/Password passed in plain text"
"enum.description.com.orchestral.foundation.webservices.security.mode.sign_and_encrypt","Message body signed and encrypted using X509 certificates"
"enum.description.com.orchestral.foundation.webservices.security.mode.ssl","Connect via SSL protected connection (HTTPS)"
"enum.description.com.orchestral.foundation.webservices.security.mode.unsecured","No security applied to the web service call"
"enum.label.com.orchestral.foundation.webservices.security.mode.custom","Custom"
"enum.label.com.orchestral.foundation.webservices.security.mode.digested_username_password","Digested Username/Password"
"enum.label.com.orchestral.foundation.webservices.security.mode.encrypted_username_password","Encrypted Username/Password"
"enum.label.com.orchestral.foundation.webservices.security.mode.plain_username_password","Username/Password"
"enum.label.com.orchestral.foundation.webservices.security.mode.sign_and_encrypt","Sign and Encrypt"
"enum.label.com.orchestral.foundation.webservices.security.mode.ssl","Secure Socket"
"enum.label.com.orchestral.foundation.webservices.security.mode.unsecured","Unsecured"
"ep - add to administered medications","EP - Add To Administered Medications"
"ep - all treatment protocols","EP - All Treatment Protocols"
"ep - open pdf in new window","EP - Open PDF In New Window"
"ep_3_notes (context)","EP_3_Notes (context)"
"ep_7_new_wound_obs","EP_7_New_Wound_Obs"
"ep_assessments search","EP_Assessments Search"
"ep_care plan (non-filtered)","EP_Care Plan (non-filtered)"
"ep_correspondence (non-filtered)","EP_Correspondence (non-filtered)"
"ep_medication_list","EP_Medication_List"
"ep_open task (sdm)","EP_Open Task (SDM)"
"ep_referrals (non-filtered)","EP_Referrals (non-filtered)"
"ep_treatment plan (non-filtered)","EP_Treatment Plan (non-filtered)"
"episode","Episode"
"episode list","Episode List"
"episode number","Episode Number"
"episode summary","Episode Summary"
"episode type","Episode Type"
"episodeid","EpisodeId"
"episodetype","episodeType"
"ereferral administrator","eReferral Administrator"
"ereferral amend","eReferral Amend"
"ereferral user","eReferral User"
"ereferral view","eReferral View"
"ereferrals","eReferrals"
"erf.actionview.button.add","Add >>"
"erf.actionview.button.down","Down"
"erf.actionview.button.remove","<< Remove"
"erf.actionview.button.up","Up"
"erf.actionview.heading.notselectedactionstable","Available Referral Actions"
"erf.actionview.heading.selectedactionstable","Selected Referral Actions"
"erf.activity.error","The referral activity history is unavailable due to an error. Please contact your support team for assistance."
"erf.activity.heading","Activity"
"erf.activity.noelements","There has been no activity for this referral."
"erf.button.browse","Browse"
"erf.button.delete","Delete"
"erf.button.referral.addnote","Add Note"
"erf.button.referral.decline","Decline"
"erf.button.referral.download","Download"
"erf.button.referral.priority","Set Priority"
"erf.button.referral.review.required.no","No"
"erf.button.referral.review.required.yes","Yes"
"erf.button.referral.saved","Saved"
"erf.button.referral.workflow","Workflow"
"erf.button.referralrequest.browseservices","Browse"
"erf.button.referralrequest.create","Create"
"erf.button.referralrequest.deletedraft","Delete Draft"
"erf.button.referralrequest.register","Submit"
"erf.button.referralrequest.reject","Reject"
"erf.button.referralrequest.save","Save as Draft"
"erf.button.referralrequest.submit","Submit"
"erf.button.reject","Reject"
"erf.common.clinician.display.id","{0}"
"erf.common.external.id.display","{0} ({1})"
"erf.confirm.delete.referralaction","Are you sure want to delete this action? Deleting an Action will remove it from all views, and the Activity Feed of any Referrals that have used this Action will fail to display. "
"erf.error.actionview.create.duplicatename","A view with this name already exists"
"erf.error.actionview.create.nametoolong","The name is too long"
"erf.error.actionview.name.error","Error retrieving existing views"
"erf.error.form.dynamic.update","Some fields or calculated values may be missing due to a problem retrieving content from the server. Saving is disabled as it may corrupt the form. Please contact your support team for assistance."
"erf.error.form.initialization","The referral form is unavailable due to an error. Please contact your support team for assistance."
"erf.error.referralaction.create.duplicatename","An action with this name already exists"
"erf.error.referralaction.create.nametoolong","The action name is too long"
"erf.error.referralaction.name.error","Error retrieving existing actions"
"erf.error.referraleventtype.create.duplicatename","The given event name already exists"
"erf.error.referraleventtype.create.error","Error retrieving existing events"
"erf.error.referraleventtype.create.nametoolong","The event name is too long"
"erf.error.referralservice.create.duplicatename","A service with this name already exists"
"erf.error.referralservice.create.error","Error when checking for duplicate name"
"erf.error.referralservice.create.nametoolong","The service name is too long"
"erf.error.referralservice.dialog.notypesfound","No Referral Types found"
"erf.error.referralservice.dialog.typeisalreadyadded","{0} is already added"
"erf.error.referraltype.create.duplicatename","A type with this name already exists"
"erf.error.referraltype.create.error","Error when checking for duplicate name"
"erf.error.referraltype.create.nametoolong","The type name is too long"
"erf.error.validation.field.invalid","{0} is invalid."
"erf.event.error","Referral events are unavailable due to an error. Please contact your support team for assistance."
"erf.event.heading","Events"
"erf.event.noelements","There are no events for this referral."
"erf.event.occuronce","This event can only occur once. If it already exists, adding a new event of this type will replace it."
"erf.heading.create.actionview.configuration","Referral View"
"erf.heading.create.actionview.configuration.section","Referral View"
"erf.heading.create.configuredaction.configuration","Configured Action"
"erf.heading.create.productaction.configuration","Product Action"
"erf.heading.create.referralaction.configuration","Referral Action"
"erf.heading.create.referralaction.configuration.section","Referral Action"
"erf.heading.create.referraleventtype.configuration","Referral Event Type"
"erf.heading.create.referraleventtype.configuration.section","Referral Event Type"
"erf.heading.create.referralservice.configuration","Referral Service"
"erf.heading.create.referralservice.configuration.section","Form Details"
"erf.heading.create.referraltype.configuration","Referral Type"
"erf.heading.create.referraltype.configuration.section","Referral Type"
"erf.heading.identifier.configuration","Formatted Identifier Configuration"
"erf.heading.identifier.configuration.section","Configuration"
"erf.heading.patient","Patient"
"erf.heading.receiver","Specialty"
"erf.heading.referral","View Referral"
"erf.heading.referral.core.configuration","Referral Core Configuration"
"erf.heading.referral.core.configuration.section","Referral Core Configuration"
"erf.heading.referral.notes","Referral Notes"
"erf.heading.referraldetails","Referral Details"
"erf.heading.referralrequest","Request for Service"
"erf.heading.referringclinician","Referrer"
"erf.heading.registerreferral","Register Referral"
"erf.heading.vetowords.configuration","Prohibited Words Configuration"
"erf.heading.vetowords.configuration.section","Configuration"
"erf.label.actionview.action","Referral Actions"
"erf.label.actionview.configuration","Referral View"
"erf.label.actionview.id","Identifier"
"erf.label.actionview.name","Name"
"erf.label.actionview.name.duplicate","The given view name already exists"
"erf.label.actionview.name.toolong","The name exceeds the maximum length of {0} characters"
"erf.label.activity.anchor.label","Activity"
"erf.label.activity.anchor.name","Activity"
"erf.label.assignee","Specialty"
"erf.label.assignee.browse","Browse"
"erf.label.assigneesearch","Assignee Search"
"erf.label.backtotop","Back to Top"
"erf.label.code","Code"
"erf.label.commonreferralsearches","Common Referral Searches"
"erf.label.configuredaction.configuration","Configured Action"
"erf.label.constraint.referralservice.description","Referral Service"
"erf.label.constraint.referralservice.name","Referral Service"
"erf.label.constraint.referralstatus.description","Referral Status"
"erf.label.constraint.referralstatus.name","Referral Status"
"erf.label.content.appended","Appended"
"erf.label.datasource.param.referral.id","Referral ID"
"erf.label.datasource.param.referral.request.id","Referral Request ID"
"erf.label.demographicssearch","Demographics Search"
"erf.label.enter.referralservice.name","Enter a name for the new Referral Service"
"erf.label.enter.referraltype.name","Enter a name for the new Referral Type"
"erf.label.events.anchor.label","Events"
"erf.label.events.anchor.name","Events"
"erf.label.external.id","External Id"
"erf.label.external.id.no.value","—"
"erf.label.identifier","Formatted Identifier"
"erf.label.identifier.algorithm.mod11","Mod 11"
"erf.label.identifier.algorithm.mod11alpha","Mod 11 Alphanumeric"
"erf.label.identifier.algorithm.none","None"
"erf.label.identifier.algorithm.restrictedmod11","Restricted Mod 11"
"erf.label.identifier.checkdigitalgorithm","Check digit algorithm"
"erf.label.identifier.format","Format"
"erf.label.identifier.maxrepeats","Maximum repeats"
"erf.label.identifier.name","Name"
"erf.label.identifier.name.com.orchestral.referrals","Referral Identifier"
"erf.label.identifier.test","Test"
"erf.label.isurgent","Yes"
"erf.label.meta.data.external.id.no.value","—"
"erf.label.no.content","No content"
"erf.label.no.value","—"
"erf.label.notes.anchor.label","Notes"
"erf.label.notes.anchor.name","Notes"
"erf.label.notes.note","Note"
"erf.label.noturgent","No"
"erf.label.pasreferralidsearch","PAS Referral Id Search"
"erf.label.productaction.configuration","Product Action"
"erf.label.referral.action.comment","Comment"
"erf.label.referral.action.review","Require Review"
"erf.label.referral.actionreason","Reason"
"erf.label.referral.activity.awaiting-review","Awaiting Review"
"erf.label.referral.activity.note","Note"
"erf.label.referral.activity.notetype","Type"
"erf.label.referral.activity.priority","Priority"
"erf.label.referral.activity.provider","Service Provider"
"erf.label.referral.activity.reason","Reason"
"erf.label.referral.activity.receiver","Assignee"
"erf.label.referral.activity.review-date","Review Date"
"erf.label.referral.acuity","Acuity"
"erf.label.referral.acuity.not.set","Not Set"
"erf.label.referral.close.decline","Decline Referral"
"erf.label.referral.datasource.query.getreferral.description","Get referral by identifier"
"erf.label.referral.datasource.query.getreferral.name","Get Referral"
"erf.label.referral.datasource.query.getreferral.summary","Get referral by identifier"
"erf.label.referral.defer.referral","Defer Referral"
"erf.label.referral.defer.review.date","Review Date"
"erf.label.referral.event.eventdate","Date"
"erf.label.referral.event.eventtype","Event"
"erf.label.referral.event.on","on"
"erf.label.referral.identifier","Referral Id"
"erf.label.referral.initialreceiver","Assignee"
"erf.label.referral.internal.source","Internal Source"
"erf.label.referral.lastmodifiedby","Last updated by"
"erf.label.referral.notes.addedby","added by {0}"
"erf.label.referral.notetype","Type"
"erf.label.referral.pasreferralid","PAS Referral Id"
"erf.label.referral.priority","Priority"
"erf.label.referral.priority.not.set","Not Set"
"erf.label.referral.provide.info","Provide Information"
"erf.label.referral.received.date","Created"
"erf.label.referral.refer.for","Referred For"
"erf.label.referral.referring.clinician","Referrer"
"erf.label.referral.request.datasource.query.getreferralrequestbyid.description","Get Referral Request by ID"
"erf.label.referral.request.datasource.query.getreferralrequestbyid.name","Get Referral Request by ID"
"erf.label.referral.request.datasource.query.getreferralrequestbyid.summary","Get Referral Request by ID"
"erf.label.referral.request.info","Request Information"
"erf.label.referral.request.status.confirmed","Submitted"
"erf.label.referral.request.status.description","Referral Request Status"
"erf.label.referral.request.status.discarded","Deleted"
"erf.label.referral.request.status.draft","Draft"
"erf.label.referral.request.status.name","Referral Request Status"
"erf.label.referral.request.status.new","New"
"erf.label.referral.request.status.rejected","Rejected"
"erf.label.referral.request.status.resubmitted","Resubmitted"
"erf.label.referral.request.status.submitted","Pending"
"erf.label.referral.requirement.description","Referral Requirement"
"erf.label.referral.requirement.displayname","Referral Requirement"
"erf.label.referral.requirement.summary","Referral Requirement"
"erf.label.referral.service.description","Referral Service"
"erf.label.referral.service.name","Referral Service"
"erf.label.referral.service.provider","Service Provider"
"erf.label.referral.service.provider.id","Id"
"erf.label.referral.service.provider.namespace","Namespace"
"erf.label.referral.set.provider","Set Service Provider"
"erf.label.referral.source","Referral Source"
"erf.label.referral.status","Status"
"erf.label.referral.statusreason","Reason"
"erf.label.referral.submitter.id","Submitted By"
"erf.label.referral.value.not.set","Not Set"
"erf.label.referralaction.buttonname","Button Name"
"erf.label.referralaction.buttonname.toolong","The button name exceeds the maximum length of {0} characters"
"erf.label.referralaction.eventtypes","Event Type"
"erf.label.referralaction.id","Identifier"
"erf.label.referralaction.includecomment","Allow comments"
"erf.label.referralaction.name","Name"
"erf.label.referralaction.name.duplicate","The given action name already exists"
"erf.label.referralaction.name.toolong","The name exceeds the maximum length of {0} characters"
"erf.label.referralaction.reason","Workflow Action Reason"
"erf.label.referralaction.requiresreview","Requires Review"
"erf.label.referralaction.status","Status"
"erf.label.referraleventtype.actions","Associated Actions"
"erf.label.referraleventtype.adhoc","Ad hoc"
"erf.label.referraleventtype.cardinality","Allow Multiple Instances"
"erf.label.referraleventtype.cardinality.multiple","Yes"
"erf.label.referraleventtype.cardinality.single","No"
"erf.label.referraleventtype.configuration","Referral Event Type"
"erf.label.referraleventtype.descriptivename","Descriptive Name"
"erf.label.referraleventtype.enabled","Enabled"
"erf.label.referraleventtype.name","Name"
"erf.label.referraleventtype.name.duplicate","The given view name already exists"
"erf.label.referraleventtype.name.toolong","The name exceeds the maximum length of {0} characters"
"erf.label.referraleventtype.save.associatedactions","This will affect the following action(s): ({0}), are you sure?"
"erf.label.referraleventtype.save.confirm","Confirmation"
"erf.label.referralrequest.acuity","Acuity"
"erf.label.referralrequest.address","Address"
"erf.label.referralrequest.deletedraft","Delete Referral"
"erf.label.referralrequest.dob","Born"
"erf.label.referralrequest.draftviewloadfailedmessage","The referral form is unavailable due to an error. Please contact your support team for assistance."
"erf.label.referralrequest.fromreferral","Received"
"erf.label.referralrequest.gender","Gender"
"erf.label.referralrequest.id","Id"
"erf.label.referralrequest.name","Name"
"erf.label.referralrequest.namespace","Namespace"
"erf.label.referralrequest.pas","Register"
"erf.label.referralrequest.patient","Patient"
"erf.label.referralrequest.patientid","Id"
"erf.label.referralrequest.reason","Reason"
"erf.label.referralrequest.receiveddate","Received Date"
"erf.label.referralrequest.receiver","Specialty"
"erf.label.referralrequest.referringclinician","Referrer"
"erf.label.referralrequest.rejected","Rejected Referral"
"erf.label.referralrequest.resubmitted","Resubmitted Referral"
"erf.label.referralrequest.status","Status"
"erf.label.referralrequest.validation.referralservice.invalid","Referral Service is invalid"
"erf.label.referralrequestsearches","Referral Request Searches"
"erf.label.referrals.datasource.description","Referral DataSource"
"erf.label.referrals.datasource.name","Referral DataSource"
"erf.label.referrals.request.datasource.description","Referral Request DataSource"
"erf.label.referrals.request.datasource.name","Referral Request DataSource"
"erf.label.referralsearches","Referral Searches"
"erf.label.referralservice","Service"
"erf.label.referralservice.acuity","Acuity Values"
"erf.label.referralservice.configuration","Referral Service"
"erf.label.referralservice.descriptivename","Descriptive Name"
"erf.label.referralservice.descriptivename.toolong","The Descriptive Name exceeds the maximum length of {0} characters"
"erf.label.referralservice.descriptivename.unique","The given Descriptive Name already exists"
"erf.label.referralservice.enabled","Enabled"
"erf.label.referralservice.form","Model"
"erf.label.referralservice.model","Form"
"erf.label.referralservice.name","Name"
"erf.label.referralservice.type","Referral Type"
"erf.label.referralservice.types","Referral Types"
"erf.label.referralservicesearch","Referral Service Search"
"erf.label.referraltype","Refer For"
"erf.label.referraltype.configuration","Referral Type"
"erf.label.referraltype.descriptivename","Descriptive Name"
"erf.label.referraltype.document","Print Document Type"
"erf.label.referraltype.documentid","Print Document Id"
"erf.label.referraltype.enabled","Enabled"
"erf.label.referraltype.name","Name"
"erf.label.referraltype.noresults","There are no referral services currently available."
"erf.label.referringcliniciansearch","Referring Clinician Search"
"erf.label.search.applicationname","Application Name"
"erf.label.search.entrypointname","Entry Point Name"
"erf.label.search.height","Height (px)"
"erf.label.search.method","Method"
"erf.label.search.width","Width (px)"
"erf.label.subject.referral","Referral"
"erf.label.subject.referral.request","Referral Request"
"erf.label.urgent","Urgent"
"erf.label.vetowords","Prohibited Words"
"erf.label.vetowords.showbutton","Show words"
"erf.message.content.appended","Content is appended to the end of this printed document."
"erf.message.content.load.failed","There are no rules configured to handle this document."
"erf.message.error.document.not.found","Document not found."
"erf.message.error.document.stale","Document has been modified by another user."
"erf.message.error.refresh","Refresh"
"erf.message.error.restservice.failed","Error. Could not load reason."
"erf.message.error.server.timeout","Server not responding. Please try again later."
"erf.message.referral.latest.link","View Latest Version"
"erf.message.referral.notes.error","Notes are unavailable due to an error. Please contact your support team for assistance."
"erf.message.referral.notes.none","There are no notes for this referral."
"erf.message.referral.notes.unknown.type","Unknown Note Type"
"erf.message.referralrequest.confirmdeleteline1","Are you sure you want to permanently delete this referral?"
"erf.message.referralrequest.confirmdeleteline2","You will not be able to undo this action."
"erf.message.referralrequest.deleted","Deleted"
"erf.message.referralrequest.error","Error"
"erf.message.referralrequest.pas.id.duplicate.error","The PAS Referral Id is already associated with a request."
"erf.message.referralrequest.previous.rejected","A previous version of this referral was rejected with reason ""{0}""."
"erf.message.referralrequest.previous.rejected.with.comment","A previous version of this referral was rejected with reason ""{0}"" and comment ""{1}"""
"erf.message.referralrequest.requestsubmittedmessage","This request has already been submitted."
"erf.message.referralrequest.saved","Saved"
"erf.message.referralrequest.slow.link","Go to pending referrals."
"erf.message.referralrequest.slow.message","Submitting this referral is taking longer than usual. It will remain in a list of pending referrals until we have confirmation it was received."
"erf.message.referralrequest.submitted","Submitted"
"erf.message.referralrequest.view.previous.rejected","View Rejected Version"
"erf.message.referralrequest.view.resubmitted","View Resubmitted Version"
"erf.message.vetowords.configuration","Prohibited Words can be configured through the Configuration Import, Export and Explorer screens (under Other/Veto Words)."
"erf.option.popupintegrationmethod.lightbox","Lightbox"
"erf.option.popupintegrationmethod.new_window","New Window"
"erf.print.pdf.footer.pageno","Page {0} of {1}"
"erf.print.pdf.footer.printedby","Printed by {0} on {1}"
"erf.print.pdf.header.patientid","{0} - {1} {2}"
"erf.print.pdf.header.referralid","{0} (v. {1})"
"erf.print.pdf.heading.referralcontent","Referral Details"
"erf.print.pdf.heading.referralcontent.pagecount","- {0} Page(s)"
"erf.referral.old.version.message","You are viewing an old version of this document (version {0} of {1})"
"erf.referral.requires.review.warning","New information has been added to this referral and requires review."
"erf.title.actionview.action","Select Referral Actions for the View"
"erf.title.content.appended","Referral Content Appended"
"erf.title.referral","{0} Referral"
"erf.title.referral.deleted","{0} (deleted service) Referral"
"erf.title.referral.priority","Set Priority"
"erf.title.referralrequest","{0} Referral"
"erf.title.referralrequest.deleted","{0} (deleted service) Referral"
"error.503.service.unavailable","Error: 503 Service Unavailable"
"error.503.service.unavailable.message","The requested application is currently not available."
"error.accountlockedexception.message.message","The user account is locked"
"error.accountlockedexception.message.title","User Account Locked"
"error.ajax.unexpectederror","An unexpected error has occurred. If you see this message again please contact support."
"error.alreadyadded","''[0]'' has already been added"
"error.alreadyassignedtouser","The current task is already assigned to that user."
"error.alreadyexistsexception.account_policy","An account policy with name ''{0}'' already exists"
"error.alreadyexistsexception.account_type","An account type with name ''{0}'' already exists"
"error.alreadyexistsexception.add_document_entry_point","An add document entry point with name ''{0}'' already exists"
"error.alreadyexistsexception.application","An application with name ''{0}'' already exists"
"error.alreadyexistsexception.application_variable","An application variable with name  ''{0}'' already exists"
"error.alreadyexistsexception.category","A category with name ''{0}'' already exits"
"error.alreadyexistsexception.concerto_default_allowed_user_agent","The user agent ''{0}'' is already a default allowed user agent"
"error.alreadyexistsexception.content_parameter","A content parameter with name ''{0}'' already exists"
"error.alreadyexistsexception.context_agent","A context agent with name ''{0}'' already exists"
"error.alreadyexistsexception.context_appender_configuration","A context appender configuration with name ''{0}'' already exists"
"error.alreadyexistsexception.context_appender_parameter","A context appender parameter with name ''{0}'' already exists"
"error.alreadyexistsexception.context_subject","A context subject with subject name ''{0}'' already exists"
"error.alreadyexistsexception.context_view","A context view with name ''{0}'' already exists"
"error.alreadyexistsexception.context_view_entry_point","A context view entry point with name ''{0}'' already exists"
"error.alreadyexistsexception.custom_attribute","A custom attribute with name ''{0}'' already exists"
"error.alreadyexistsexception.data_appender_configuration","A data appender configuration with name ''{0}'' already exists"
"error.alreadyexistsexception.data_appender_entry","A data appender entry with key ''{0}'' already exists"
"error.alreadyexistsexception.data_appender_parameter","A data appender parameter with name ''{0}'' already exists"
"error.alreadyexistsexception.default_allowed_user_agent","The user agent ''{0}'' is already a default allowed user agent"
"error.alreadyexistsexception.default_help_redirection","A default help redirection already exists for this application"
"error.alreadyexistsexception.default_icon_redirection","A default icon redirection already exists for this application"
"error.alreadyexistsexception.desktop_application","A desktop application with name ''{0}'' already exists"
"error.alreadyexistsexception.disclaimer","A disclaimer with the name ''{0}'' already exists"
"error.alreadyexistsexception.document_category","A document category with name ''{0}'' already exists"
"error.alreadyexistsexception.document_control_bar_button","A document control bar button with name ''{0}'' already exists"
"error.alreadyexistsexception.document_repository","A document repository with name ''{0}'' already exists"
"error.alreadyexistsexception.document_repository_custom_allowed_user_agent","The user agent ''{0}'' is already an allowed custom user agent"
"error.alreadyexistsexception.document_subcategory","A document subcategory with name ''{0}'' already exists"
"error.alreadyexistsexception.document_view","A document view with name ''{0}'' already exists"
"error.alreadyexistsexception.entity","An entity with ID ''{0}'' already exists"
"error.alreadyexistsexception.entity_access_policy","An entity access policy with name ''{0}'' already exists"
"error.alreadyexistsexception.entity_data","Entity data with name ''{0}'' already exists"
"error.alreadyexistsexception.entity_identifier","An entity identifier with name ''{0}'' already exists"
"error.alreadyexistsexception.entity_identifier_type","An entity identifier type with name ''{0}'' already exists"
"error.alreadyexistsexception.entity_policy_selector","A {0} policy selector with name ''{1}'' already exists"
"error.alreadyexistsexception.entity_policy_selector_parameter","A {0} policy selector parameter with name ''{1}'' already exists"
"error.alreadyexistsexception.entry_point","An entry point with name ''{0}'' already exists"
"error.alreadyexistsexception.entry_point_allowed_custom_user_agent","The user agent ''{0}'' is already an allowed custom user agent"
"error.alreadyexistsexception.external_identifier","The user ''{0}'' already has an external identifier of type ''{1}''"
